apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category
concorde antares,Vidyaranyapura,north,3,Under Construction,1450.0,1723.0,,1.43,"[('subhash chandra bose rd', '120 m'), ('sambhram academy of management', '1.5 km'), ('aveksha hospital', '2.8 kms'), ('shri chaitanya school', '6.4 km'), ('peenya industry metro station', '9.6 km'), ('yesvantpur jn. railway station', '10 km'), ('acharya stadium', '10.8 km'), ('vaishnavi sapphire centre', '10.6 km'), ('four seasons hotel', '11.5 km'), ('embassy manyata business park', '14.1 km'), ('kempegowda international airport', '26.9 km')]","['Theatre', 'Golf Course', ""Children's Play Area"", 'Lounge', 'Creche/Day Care', 'Mini Theatre', 'Swimming Pool', 'Club House', 'Gymnasium']",63.0,medium
brigade el dorado,Bagalur,north,3,New Property,,1138.0,1266.0,1.44,"[('delhi public school', '6.9 km'), ('Galleria Mall', '13.1 km'), ('elements mall', '18.4 km'), ('reva university', '8.1 km'), ('cmr university', '5.2 km'), ('nrv hospital', '9.1 km'), ('kempegowda international airport', '9.2 km'), ('manyata tech park', '17 km'), ('columbia asia', '17.8 km')]","['Jogging Track', 'Golf Course', 'Basketball Court', ""Children's Play Area"", 'Swimming Pool', 'Club House', 'Park', 'Amphitheatre', 'Gymnasium']",63.0,medium
lodha mirabelle,Thanisandra,north,3,Under Construction,1208.0,1435.0,,1.54,"[('nagavara metro station', '1.9 km'), ('kempegowda airport', '26.2 km'), ('phoenix mall of asia', '8.4 km'), ('bhartiya mall', '6.3 km'), ('manipal hospital', '5.9 km'), ('aster cmi hospital', '6.8 km'), ('mallya aditi school', '11.4 kms'), ('stonehill international school', '19.7 km')]","['Banquet Hall', ""Children's Play Area"", 'Creche/Day Care', 'Mini Theatre', 'Swimming Pool', 'Club House', 'Park', 'Amphitheatre', 'Gymnasium']",69.0,medium
brigade insignia,Yelahanka,north,3,Under Construction,,1528.0,1700.0,3.37,"[('proposed yelahanka metro station', '1.3 km'), ('yelahanka junction', '2 km'), ('galleria mall', '2.6 km'), ('rmz galleria office block', '2.8 kms'), ('uper silverkey executive stay', '4 km'), ('nh44 ', '2.6 km'), ('vidyashilp academy', '6.4 km'), ('reva university', '6.5 km'), ('manipal hospital', '7.4 km'), ('gkvk stadium', '7.4 km'), ('lumbini gardens', '10 km'), ('prestige augusta', '15.2 km'), ('bengaluru airport', '19 km')]","['Squash Court', 'Jogging Track', 'Badminton Court', ""Children's Play Area"", 'Swimming Pool', 'Terrace Garden', 'Gymnasium', 'Amphitheatre', 'Lounge']",68.0,medium
goyal orchid salisbury thirumenahalli,Road,north,3,Under Construction,,1391.0,1548.0,1.62,"[('federal public school', '1.4 kms'), ('reeva hospital', '950 m'), ('university of agricultural sciences', '11.2 km'), ('kodigehalli', '10.8 km'), ('kempegowda intl. airport', '20.2 km'), ('the galleria mall', '6.3 kms'), ('h ', '10450 m'), ('gkvk university stadium', '11 km'), ('bengaluru golf club', '16.4 km'), ('nagasandra', '26.7 km'), ('lr complex', '16.2 km'), ('funtura', '21.4 km'), ('taj yeshwantpur', '18.9 km')]","['Cafeteria', 'Badminton Court', 'Indoor Games', 'Yoga/Meditation Area', 'Mini Theatre', 'Multipurpose Hall', 'Swimming Pool', 'Club House', 'Lounge']",65.0,medium
brigade atmosphere,Devanahalli,north,3,New Property,1822.0,2165.0,,2.15,"[('sh96', '350 m'), ('eterschinmayee pre university college', '4.9 km'), ('devanahalli railway station', '5 km'), ('the arcade', '6.4 km'), ('akash hospital', '6.6 km'), ('brigade orchards sports arena', '7.1 km'), ('chanakya university', '7.7 kms'), ('rigandha international school', '8 km'), ('bengaluru signature business park', '9.7 km'), ('club cabana amusement park', '15.7 km'), ('kempegowda international airport', '16.4 km')]","['Grocery Shop', 'Badminton Court', ""Children's Play Area"", 'Aerobics Centre', 'Swimming Pool', 'Club House', 'Park', 'Amphitheatre', 'Gymnasium']",69.0,medium
assetz sora and saki,Bagalur,north,3,New Property,,1553.0,1728.0,1.85,"[('st. francis school', '1.8 km'), ('bk halli highway', '2.1 km'), ('relive hospital\xa0', '3.6 km'), ('cmr university', '6.0 km'), ('lotpick workspace', '9.3 km'), ('kempegowda international airport\xa0', '10.9 km'), ('yelahanka railway station', '15.8 km')]","['Squash Court', 'Badminton Court', 'Basketball Court', ""Children's Play Area"", 'Creche/Day Care', 'Yoga/Meditation Area', 'Swimming Pool', 'Amphitheatre', 'Gymnasium']",61.0,medium
sumadhura epitome,Hebbal,north,3,New Property,,1616.0,1798.0,2.02,"[('sh104', '2.1 kms'), ('aamar international school', '2.4 km'), ('elements mall', '2.9 km'), ('bizzhub workspaces', '3.9 km'), ('eesha multispeciality hospital', '4.1 km'), ('the leela bhartiya city', '5.6 km'), ('reva university', '8.1 kms'), ('hivaranga indoor stadium', '10.2 km'), ('fun world amusement park', '10 km'), ('lottegollahalli railway station', '11 km'), ('golf club training command', '12.2 kms'), ('andal soap factory metro station', '14.2 km'), ('kempegowda international airport', '24.6 km')]","['Banquet Hall', 'Theatre', 'Creche/Day Care', 'Yoga/Meditation Area', 'Swimming Pool', 'Club House', 'Park', 'Amphitheatre', 'Gymnasium']",68.0,medium
bhartiya nikoo homes 5,Chokkanahalli,north,3,Under Construction,,1707.0,1899.0,1.86,"[('sadhana vidya kendra', '3.5 km'), ('yenepoya university bhartiya city', '750 m'), ('cratis hospital', '5.7 km'), ('kempegowda international airport', '22.0 kms'), ('h ', '1041.3 km'), ('elements mall', '5.6 km'), ('kodigehalli metro station', '9.5 km'), ('yelahanka junction', '7.4 km'), ('the leela bhartiya city', '1.1 km'), ('m. chinnaswamy stadium', '15.8 km'), ('bengaluru golf club', '16.4 km'), ('fun world amusement park', '14.6 km')]","['Squash Court', 'Badminton Court', ""Children's Play Area"", 'Creche/Day Care', 'Swimming Pool', 'Club House', 'Gymnasium', 'Amphitheatre', 'Lounge']",6.0,low
sattva park cubix,Devanahalli,north,3,New Property,,1246.0,1386.0,0.49,"[('oxford english school', '650 m'), ('etersthe arcade', '1.2 km'), ('new manasa hospital', '1.8 km'), ('devanahalli station', '2.6 km'), ('akash medical college', '2.8 km'), ('devanahalli yeliyur road', '6.1 km'), ('nh44 ', '6.3 km'), ('jw marriott', '8.9 km'), ('prestige tech cloud park', '11 km'), ('kempegowda international airport', '11.1 km')]","['Park', 'Jogging Track', ""Children's Play Area"", 'Creche/Day Care', 'Swimming Pool', 'Club House', 'Gymnasium', 'Amphitheatre', 'Lounge']",67.0,medium
