apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category
kvg aster,NRI Layout,east,2,Relatively New,906.0,1126.0,,0.69,"['Hanuman', 'Shiva', 'Bhakthanjeneya Temple', 'Hanuman Temple', 'Om Shakti Temple', 'Shani Mahatma Temple', 'Ganesha temple', 'Hdfc ATM', 'Bhagat Dental Clinic', 'Eshawar HospItal', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Asesh Dental Clinic', 'Veterinary Hospital', 'Healthy smiles dental clinic', 'Urban Kids Clinic', 'Shree Clinic', 'Niswaras Homeopathy Clinic', 'Koshys Hospital', 'Amma Poly Clinic and Materinity Home', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', ""Arjun's Child Care Clinic"", 'Sri Balaji Polyclinic and Diagnostic Centr', 'Nava Chaithanya Clinic', 'Sri Vinayaka Child Care Clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Amma Poly Clinic', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Indian Medicals', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'Hdfc bank', 'Oriental bank of commerce', 'State bank of india', 'Vijaya bank', 'Ruchi', 'Kalleshwari Rice corner', 'Biryani House', 'Hong Kong Noodles', 'Hotel Sinchana', 'St George High School', 'Sunshine Childrens Home and School', 'Chaitanya E-Techno School', 'Orchids The International School - Horamavu', 'ProEmTech Infosytems Pvt. Ltd.']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",85.0,medium
kvg superior,NRI Layout,east,2,Relatively New,1179.0,1401.0,,0.64,"['Hanuman', 'Shiva', 'Bhakthanjeneya Temple', 'Hanuman Temple', 'Om Shakti Temple', 'Shani Mahatma Temple', 'Ganesha temple', 'Hdfc ATM', 'Eshawar HospItal', 'Bhagat Dental Clinic', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Asesh Dental Clinic', 'Veterinary Hospital', 'Healthy smiles dental clinic', 'Urban Kids Clinic', 'Shree Clinic', 'Niswaras Homeopathy Clinic', 'Koshys Hospital', 'Amma Poly Clinic and Materinity Home', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', ""Arjun's Child Care Clinic"", 'Sri Balaji Polyclinic and Diagnostic Centr', 'Nava Chaithanya Clinic', 'Sri Vinayaka Child Care Clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Amma Poly Clinic', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Indian Medicals', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'Hdfc bank', 'Oriental bank of commerce', 'State bank of india', 'Vijaya bank', 'Ruchi', 'Kalleshwari Rice corner', 'Biryani House', 'Hong Kong Noodles', 'Hotel Sinchana', 'St George High School', 'Sunshine Childrens Home and School', 'Chaitanya E-Techno School', 'Orchids The International School - Horamavu', 'ProEmTech Infosytems Pvt. Ltd.']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",130.0,medium
sai dwaar,Horamavu,east,2,Relatively New,,1029.0,1145.0,0.71,"['Hanuman Temple', 'Ganesha Temple', 'Om Shakti Temple', 'Ganesha temple', 'Temple', 'Gethseman Sungji Church', 'Hdfc ATM', 'Axis bank ATM', 'Oriental bank of commerce ATM', 'Hdfc ATM', 'Shubham Ayurvedic Clinic', 'Lifespan Diabetic Clinic', ""The Children's Clinic"", ""Women's Speciality Polyclinic"", ""People's Clinic"", 'Stroke Treatment Paralysis', 'Motherhoodclinic', 'Jaya Dental Clinic', 'Nava Chaithanya Clinic', ""Arjun's Child Care Clinic"", 'Maneet Poly Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', 'Sri Venkateshwara Clinic', 'Super Specialty Eye Hospital', 'Cloudnine Hospital', 'Archak Dental', 'Dr.Zamindar Microsurgical Eye Centre', ""Shishuka Children's Speciality Hospital"", 'IMAX Clinic', 'MedPlus', 'Maruthi Medicals', 'Indianoil', 'State bank of india', 'Axis bank', 'Oriental bank of commerce', 'Sweet Chariot Cafe', 'Chung Wak', 'Cafe Coffee Day', 'Bhagini', 'Kalleshwari Rice corner', 'Biryani House', 'Chai', 'Yogis Donne Biryani', 'Ambur Hot Dum Biriyaani', 'Kolkata Roll on Dial', 'Daily Bread', 'New Udipi Park', 'New Baldwins School', 'Stylusinc']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",76.0,medium
mana candela,Kodathi,east,2,Moderatly Old,,1057.0,1176.0,0.95,"['Holy Trinity Orthodox Chapel', 'Shani Temple', 'Ganesha Temple', 'A & J Ayur Care', 'Karunalayam Hospital', 'Carewell Homoeo Clinic', 'Navyashree medicals & general stores', 'RGA Techpark', 'Andhra bank - doddakanelli branch', 'Snigiiz Kitchen', 'Namma Madurai', 'Malnad Military Hotel & Fast Food', 'Madurai Idly Shop', 'Birbal Darbar', 'Sambrahma', 'Quick Bites', 'Melting Cakes', 'Good Food Kitchen', 'Little Millennium', 'Lakshya Public School', 'Carmelaram railway station', 'Unisys']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",102.0,medium
kvg aster,Raghavendra Nagar,east,2,Relatively New,899.0,1122.0,,0.69,"['Hanuman', 'Shiva', 'Bhakthanjeneya Temple', 'Hanuman Temple', 'Om Shakti Temple', 'Shani Mahatma Temple', 'Ganesha temple', 'Hdfc ATM', 'Bhagat Dental Clinic', 'Eshawar HospItal', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Asesh Dental Clinic', 'Veterinary Hospital', 'Healthy smiles dental clinic', 'Shree Clinic', 'Urban Kids Clinic', 'Niswaras Homeopathy Clinic', 'Koshys Hospital', 'Amma Poly Clinic and Materinity Home', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', ""Arjun's Child Care Clinic"", 'Sri Balaji Polyclinic and Diagnostic Centr', 'Nava Chaithanya Clinic', 'Sri Vinayaka Child Care Clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Amma Poly Clinic', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Indian Medicals', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'Hdfc bank', 'Oriental bank of commerce', 'State bank of india', 'Vijaya bank', 'Ruchi', 'Kalleshwari Rice corner', 'Hong Kong Noodles', 'Biryani House', 'Hotel Sinchana', 'St George High School', 'Sunshine Childrens Home and School', 'Chaitanya E-Techno School', 'Orchids The International School - Horamavu', 'ProEmTech Infosytems Pvt. Ltd.']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",62.0,medium
sai dwaar,Horamavu,east,2,Relatively New,950.0,1040.0,1059.0,0.6,"['Hanuman Temple', 'Om Shakti Temple', 'Ganesha Temple', 'Ganesha temple', 'Temple', 'Gethseman Sungji Church', 'Hdfc ATM', 'Axis bank ATM', 'Oriental bank of commerce ATM', 'Hdfc ATM', 'Shubham Ayurvedic Clinic', 'Lifespan Diabetic Clinic', ""The Children's Clinic"", ""Women's Speciality Polyclinic"", ""People's Clinic"", 'Stroke Treatment Paralysis', 'Motherhoodclinic', 'Nava Chaithanya Clinic', ""Arjun's Child Care Clinic"", 'Jaya Dental Clinic', 'Maneet Poly Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', 'Sri Venkateshwara Clinic', 'Super Specialty Eye Hospital', 'Cloudnine Hospital', 'Archak Dental', 'Dr.Zamindar Microsurgical Eye Centre', ""Shishuka Children's Speciality Hospital"", 'IMAX Clinic', 'MedPlus', 'Maruthi Medicals', 'Indianoil', 'State bank of india', 'Axis bank', 'Oriental bank of commerce', 'Sweet Chariot Cafe', 'Chung Wak', 'Cafe Coffee Day', 'Kalleshwari Rice corner', 'Biryani House', 'Bhagini', 'Chai', 'Yogis Donne Biryani', 'Ambur Hot Dum Biriyaani', 'Kolkata Roll on Dial', 'Daily Bread', 'New Udipi Park', 'New Baldwins School', 'Stylusinc']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Natural Light']",85.0,medium
kvg superior,NRI LAYOUT,east,2,New Property,900.0,1064.0,1179.0,0.7,"['Bhakthanjeneya Temple', 'Shani Mahatma Temple', 'Hanuman', 'Shiva', 'Hdfc ATM', 'Icic bank ATM', 'Shree Clinic', 'Niswaras Homeopathy Clinic', 'Healthy smiles dental clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Sri Vinayaka Child Care Clinic', 'Amma Poly Clinic', 'GSR Dental & Health Care', 'Bhagat Dental Clinic', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Eshawar HospItal', 'Asesh Dental Clinic', 'Veterinary Hospital', 'Vijaya Lakshmi Clinic', 'Sri Balaji Polyclinic and Diagnostic Centr', 'Pooja Dental and Orthodontic Clinic', 'Koshys Hospital', 'Health Plus Multi Speciality Hospital', 'Amma Poly Clinic and Materinity Home', 'Urban Kids Clinic', 'Shanthinilaya Hospital', 'Swiss Medic Health Care', 'Sree Manjunatha Medicals', 'Shri Vishnu', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Indian Medicals', 'Bharat Petroleum', 'Bharat Petroleum', 'State bank of india', 'Oriental bank of commerce', 'Hdfc bank', 'Vijaya bank', 'Hong Kong Noodles', 'Hotel Sinchana', 'Ruchi', 'St George High School', 'Chaitanya E-Techno School', 'Sunshine Childrens Home and School', ""St. Anthony's Primary Middle and Girls High School"", ""St. Anne's Pre-University College For Girls"", 'L.B.S. School', 'ProEmTech Infosytems Pvt. Ltd.']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'No open drainage around', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",119.0,medium
kvg aster,Kanaka Nagar,east,2,Relatively New,898.0,1120.0,,0.69,"['Hanuman', 'Shiva', 'Bhakthanjeneya Temple', 'Hanuman Temple', 'Om Shakti Temple', 'Shani Mahatma Temple', 'Ganesha temple', 'Hdfc ATM', 'Bhagat Dental Clinic', 'Eshawar HospItal', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Asesh Dental Clinic', 'Veterinary Hospital', 'Healthy smiles dental clinic', 'Urban Kids Clinic', 'Shree Clinic', 'Niswaras Homeopathy Clinic', 'Koshys Hospital', 'Amma Poly Clinic and Materinity Home', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', ""Arjun's Child Care Clinic"", 'Sri Balaji Polyclinic and Diagnostic Centr', 'Nava Chaithanya Clinic', 'Sri Vinayaka Child Care Clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Amma Poly Clinic', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Indian Medicals', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'Hdfc bank', 'Oriental bank of commerce', 'State bank of india', 'Vijaya bank', 'Ruchi', 'Kalleshwari Rice corner', 'Biryani House', 'Hong Kong Noodles', 'Hotel Sinchana', 'St George High School', 'Sunshine Childrens Home and School', 'Chaitanya E-Techno School', 'Orchids The International School - Horamavu', 'ProEmTech Infosytems Pvt. Ltd.']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",76.0,medium
kvg superior,Kanaka Nagar,east,2,Relatively New,900.0,1064.0,1179.0,0.74,"['Hanuman', 'Shiva', 'Bhakthanjeneya Temple', 'Hanuman Temple', 'Om Shakti Temple', 'Shani Mahatma Temple', 'Ganesha temple', 'Hdfc ATM', 'Eshawar HospItal', 'Bhagat Dental Clinic', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Asesh Dental Clinic', 'Veterinary Hospital', 'Healthy smiles dental clinic', 'Urban Kids Clinic', 'Shree Clinic', 'Niswaras Homeopathy Clinic', 'Koshys Hospital', 'Amma Poly Clinic and Materinity Home', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', ""Arjun's Child Care Clinic"", 'Sri Balaji Polyclinic and Diagnostic Centr', 'Nava Chaithanya Clinic', 'Sri Vinayaka Child Care Clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Amma Poly Clinic', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Indian Medicals', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'Hdfc bank', 'Oriental bank of commerce', 'State bank of india', 'Vijaya bank', 'Ruchi', 'Kalleshwari Rice corner', 'Biryani House', 'Hong Kong Noodles', 'Hotel Sinchana', 'St George High School', 'Sunshine Childrens Home and School', 'Chaitanya E-Techno School', 'Orchids The International School - Horamavu', 'ProEmTech Infosytems Pvt. Ltd.']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'No open drainage around', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",76.0,medium
kvg aster,Jayanti Nagar,east,2,New Property,1010.0,1267.0,,0.77,"['Hanuman', 'Shiva', 'Bhakthanjeneya Temple', 'Shani Mahatma Temple', 'Hanuman Temple', 'Om Shakti Temple', 'Ganesha temple', 'Hdfc ATM', 'Bhagat Dental Clinic', 'Bhagat Dental Clinic', 'Eshawar HospItal', 'Asesh Dental Clinic', 'R K Polyclinic', 'Veterinary Hospital', 'Healthy smiles dental clinic', 'Shree Clinic', 'Niswaras Homeopathy Clinic', 'Urban Kids Clinic', 'Koshys Hospital', 'Amma Poly Clinic and Materinity Home', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', 'Sri Balaji Polyclinic and Diagnostic Centr', ""Arjun's Child Care Clinic"", 'Sri Vinayaka Child Care Clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Nava Chaithanya Clinic', 'Amma Poly Clinic', 'GSR Dental & Health Care', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Indian Medicals', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'Hdfc bank', 'Oriental bank of commerce', 'State bank of india', 'Ruchi', 'Hong Kong Noodles', 'Kalleshwari Rice corner', 'Biryani House', 'Hotel Sinchana', 'St George High School', 'Sunshine Childrens Home and School', 'Chaitanya E-Techno School', 'Orchids The International School - Horamavu', 'ProEmTech Infosytems Pvt. Ltd.']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",92.0,medium
prestige lake side habitat,Devasthanagalu,east,2,Moderatly Old,,1093.0,1216.0,1.67,"['Dharmaraya Swamy Temple', 'Government Hospital', 'Dentawell', 'Amphitheater', 'Vinayaka Cinema', 'Canara bank', 'Damadhish Fine Dine - Family Restaurant', 'Unwind Island Restaurant', 'Chai Point', 'Chez Mariannick', 'Bhagini Iris', 'Toscano - Wine collection']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",92.0,medium
kvg aster,Horamavu Agara,east,2,New Property,1010.0,1270.0,,0.69,"['Hanuman', 'Shiva', 'Bhakthanjeneya Temple', 'Hanuman Temple', 'Shani Mahatma Temple', 'Om Shakti Temple', 'Ganesha temple', 'Hdfc ATM', 'Bhagat Dental Clinic', 'Bhagat Dental Clinic', 'Eshawar HospItal', 'Asesh Dental Clinic', 'R K Polyclinic', 'Veterinary Hospital', 'Healthy smiles dental clinic', 'Shree Clinic', 'Niswaras Homeopathy Clinic', 'Urban Kids Clinic', 'Koshys Hospital', 'Amma Poly Clinic and Materinity Home', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Geriatric Hospitals', 'Sri Balaji Polyclinic and Diagnostic Centr', ""Arjun's Child Care Clinic"", 'Sri Vinayaka Child Care Clinic', 'Nava Chaithanya Clinic', 'Smart Dental Clinic', 'Sri Krishna Ayurvedic Clinic', 'Amma Poly Clinic', 'Chandru Medicals and General Stores', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Indian Medicals', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'Hdfc bank', 'Oriental bank of commerce', 'State bank of india', 'Vijaya bank', 'Ruchi', 'Hong Kong Noodles', 'Kalleshwari Rice corner', 'Biryani House', 'Hotel Sinchana', 'St George High School', 'Sunshine Childrens Home and School', 'Chaitanya E-Techno School', 'Orchids The International School - Horamavu', 'ProEmTech Infosytems Pvt. Ltd.']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",77.0,medium
swapna mahagowri,Ashirvad Colony,east,2,New Property,,1050.0,,0.58,"['Om Shakti Temple', 'Hanuman Temple', 'Ganesha temple', 'Temple', 'Shani Temple', 'Hdfc ATM', 'Hdfc ATM', 'Shubham Ayurvedic Clinic', ""Arjun's Child Care Clinic"", 'Nava Chaithanya Clinic', 'Lifespan Diabetic Clinic', ""The Children's Clinic"", 'Ayur Vaid Hospital', ""Women's Speciality Polyclinic"", 'Super Specialty Eye Hospital', ""People's Clinic"", 'Motherhoodclinic', 'Stroke Treatment Paralysis', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Jaya Dental Clinic', 'Ayurseva Hospital', 'Maneet Poly Clinic', 'Amma Poly Clinic and Materinity Home', 'Geriatric Hospitals', ""Dr. Shetty's Dental"", 'Aesthetic Dental Care', 'Dr. Syeds Dental Care', 'Dr. Murthy Ayurved Clinic', 'Asha Nursing Home', 'M J Child Clinic', 'Sri Sai Eye Hospital', 'MedPlus', 'Maruthi Medicals', 'Bharat Petrol Pump', 'Indianoil', 'IBP Petrol Pump', 'Hdfc bank', 'State bank of india', ""Domino's Pizza"", 'Kalleshwari Rice corner', 'Sweet Chariot Cafe', 'Chung Wak', 'Biryani House', 'Tamarind', 'Cafe Coffee Day', 'Savi Ruchi', 'Hotel Sinchana', 'Chaitanya E-Techno School', 'Narayana etechno school']","['Power Back-up', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']",82.0,medium
sumadhura lake breeze,Thubarahalli,east,2,Relatively New,1100.0,1260.0,1350.0,2.02,"['Big Bazaar', 'Venkateshwara Temple', 'Temple', 'Hdfc bank ATM', 'Kotak mahindra bank ATM', 'Bangalore Pet Hospital', 'Hear2Speak Clinic', 'Sofiyacare Skin And Hair Clinic', ""Dr Desai's Micro Lab"", 'SRL Diagnostics', 'Ojus Healthcare Nirmaya Clinic', 'Rajeshwari Pharma Shop', 'Trust Chemist and Drugs', 'Apollo Pharmacy', 'SKRCC Parking', 'HDFC Bank Parking', 'Shell', 'Karur vysya bank', 'Karur vyshya bank & atm', 'Sigree Global Grill', 'Mainland China', 'Chez Mariannick Bakery & Restaurant', 'Fun Foods', 'Wokantava', 'Cheeky Bites', 'Bhagini Iris', 'Cafe Coffee Day', 'Chez Mariannick', 'Karma Foods', 'Toscano - Wine collection', 'Daily Sushi', 'Cream Stone', 'Biryani Zone', 'The Farmhouse Kitchen & Bakery', 'Sri Gajanana Juice Center', 'Cafe Bel Cibo Patio', 'KFC', 'Nandhini', 'Bhagini', 'M M A Kababs', 'Litti House', 'Deckers Lane', 'Gusto pizza', 'Nandini wines.', 'Subway And New Zealand Naturals Icecream', 'Bake Master', 'Basaveshwara Khanavali', 'Akash Iit Jee', 'Vibgyor High Marathahalli', 'The Dunmore House Preschool']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",0.0,low
sapthagiri sandalwoods,Belathur,east,2,Relatively New,,1164.0,1295.0,0.91,"['Whitefield  Metro Station', 'Nexus Mall', 'Whitefield Highway', 'National Public School', 'VIT University', 'Aaxis Hospital', 'Kempegowda International Airport', 'Kadugodi Railway Station', 'Novel Office Complex', 'Vivanta Hotel']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",0.0,low
mukunda gokulam,Kadugodi,east,2,Relatively New,,1074.0,1195.0,0.71,"['Hdfc bank ATM', 'Federal bank ATM', 'Toothzone Dental Studio', ""Dr. Pranjali Srivastava's Clinic"", ""Grihi's Diabetes Centre"", 'Little Flower Hospital', 'Easwari Clinic', ""Sri Vinayaka Dental Concern's"", 'Comfort multispeciality hospital', 'Vidyaratnam oeshadhalaya', 'Kiyara Dental Multispeciality Clinic', 'Smiley Dental Care', 'Lotus Medical Centre', 'Priya Health Care', 'Sparkle Tooth Care Centre', 'Perfect Smile Dental Clinic', 'Ashwin Clinic', 'Cure Multi Speciality Clinic', 'Venus MultiSpeciality Hospital', 'Sree Lakshmi Hospital', 'Apollo Pharmacy', 'Milan Pharma', 'Medicure Pharma', 'Patanjali Pharmacy', 'Kamaldeep Medicals', 'Ayushman Panchakarma Therapy Centre', 'HP Petrol Bunk', 'Karnataka bank', 'Hdfc bank', 'Five Star Chicken', 'Hotel sneha', 'Angel Mess', 'Malabar Hotel', 'Namma Madurai', 'Shake it Off - Thickshakes', 'Ruchi Restaurant', 'Biriyani Zone', 'Northern Flavours Chaat', 'Iyer Idly', 'Grill Hut', 'Darbar Express', 'Cow Bar - Milk Shakes', 'Kabab Souq', 'Juice Souq', 'Moriz', 'Sri Gajanana Fruit Centre', 'Treat Kitchen', 'LR International School', ""Kid's Castle Preschool"", ""Hayagriva Girls' School""]","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",0.0,low
mukunda,Hoodi,east,2,Relatively New,,1047.0,1165.0,0.69,"['Hdfc bank ATM', 'Federal bank ATM', 'Toothzone Dental Studio', ""Dr. Pranjali Srivastava's Clinic"", ""Grihi's Diabetes Centre"", 'Little Flower Hospital', 'Easwari Clinic', ""Sri Vinayaka Dental Concern's"", 'Comfort multispeciality hospital', 'Vidyaratnam oeshadhalaya', 'Kiyara Dental Multispeciality Clinic', 'Smiley Dental Care', 'Lotus Medical Centre', 'Priya Health Care', 'Sparkle Tooth Care Centre', 'Perfect Smile Dental Clinic', 'Ashwin Clinic', 'Cure Multi Speciality Clinic', 'Venus MultiSpeciality Hospital', 'Sree Lakshmi Hospital', 'Apollo Pharmacy', 'Milan Pharma', 'Medicure Pharma', 'Patanjali Pharmacy', 'Kamaldeep Medicals', 'Ayushman Panchakarma Therapy Centre', 'HP Petrol Bunk', 'Karnataka bank', 'Hdfc bank', 'Five Star Chicken', 'Hotel sneha', 'Angel Mess', 'Malabar Hotel', 'Namma Madurai', 'Shake it Off - Thickshakes', 'Ruchi Restaurant', 'Biriyani Zone', 'Northern Flavours Chaat', 'Iyer Idly', 'Grill Hut', 'Darbar Express', 'Cow Bar - Milk Shakes', 'Kabab Souq', 'Juice Souq', 'Moriz', 'Sri Gajanana Fruit Centre', 'Treat Kitchen', 'LR International School', ""Kid's Castle Preschool"", ""Hayagriva Girls' School""]","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']",0.0,low
