apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility
in Eden Park at The Prestige City,"Sarjapur, Bangalore",east,1,25-Jun,442 sq.ft,,,85 Lac,"['ITPL Metro Station', 'Sri Durga Complex', 'SH 35', 'Little Elly', 'Azim Premji University', 'Spandana Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Eden Park at The Prestige City,"Sarjapur, Bangalore",east,1,Within 6 months,666 sq.ft,,,77 Lac,"['ITPL Metro Station', 'Sri Durga Complex', 'SH 35', 'Little Elly', 'Azim Premji University', 'Spandana Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station']","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Sobha Lake Gardens,"KR Puram, Bangalore",east,1,1 to 5 Year Old,472 sq.ft,,,85 Lac,"['Baiyappanahalli', 'Ascendas Park Square', 'Medahalli Kadugodi', 'NH75', 'Lake Montfort School', 'Cambridge PU College', 'Manipal Hospital', 'Kempegowda Airport', 'Andhra Bank', 'K.R. Puram', 'ITPL Whitefield', 'M Chinnaswamy Stadium', 'Click Art Museum', 'Bangalore Palace', 'Nayara Petrol Pump']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Club house / Community Center']"
in Godrej Park Retreat,"Sarjapur, Bangalore",east,1,Within 3 months,409 sq.ft,,,68 Lac,"['Hosa Road Metro Station9', 'Market Square Mall Sarjapur Road', 'SH 35', 'Harvest International School', 'Dayananda Sagar University2', 'Manipal Hospital Sarjapur Road', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Wipro Limited - SEZ', 'DoubleTree Suites by Hilton Hotel', 'Kala Bhoomi Amusement&Exhibition', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Eden Park at The Prestige City,"Sarjapur, Bangalore",east,1,Within 6 months,447 sq.ft,,,90 Lac,"['ITPL Metro Station', 'Sri Durga Complex', 'SH 35', 'Little Elly', 'Azim Premji University', 'Spandana Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Y at Whitefield,"Mahadevapura, Bangalore",east,1,0 to 1 Year Old,,,612 sq.ft,70 Lac,"['Looking Good Furniture', 'Sri Devi Karumariamman Temple', 'St. Theresa Novitiate', 'Shree Ramakrishna Temple', 'Sri Devi Karumariamman Temple Mahadwara', 'Andhra bank ATM', 'Hdfc ATM', 'Icici ATM', 'Kotak mahindra bank ATM', 'Hdfc bank ATM', 'Revive Aesthetic Clinic Skin Hair And Laser Center', 'Hair Loss Treatment in Bangalore - Hairline International', 'Agarwal Eye Hospital', 'Vignesh medicals', 'MedPlus', '24x7 Pharmacy', ""Visitor's Car Park"", 'Shell', 'Jagriti Theatre', 'Andhra bank', ""Domino's Pizza"", 'The Fat Chef', 'Cafe Bel Cibo Patio', 'The Farmhouse Kitchen & Bakery', 'Cream Stone', 'Udupi Delecacy', 'Saffron Patch', 'Daily Sushi', 'Sowparnika Bakery And Sweets', 'Toscano - Wine collection', 'The Marigold - Fine Dine', 'Bhagini Iris', 'Chez Mariannick', 'Bhagini Park', 'Cafe Coffee Day', ""Kolkata's"", 'Pizza Hut PHD', 'Refresh', 'Moriz Restaurant', 'Whitefield Dum Biriyani', 'Chin Chin', 'Bright Beginnings Preschool', 'The Dunmore House Preschool', 'Neev School', 'Viha', 'Kideens', 'Delhi Public School', 'Chrysalis Kids', 'Vivero International Preschool', 'Little Millenium']","['Swimming Pool', 'Fitness Centre / GYM']"
in New Dimensions Fifth Element,"Gunjur, near Varthur",east,1,1 to 5 Year Old,,,500 sq.ft,50 Lac,"['Dharmaraya Swamy Temple', 'Shiva Temple', 'Venkateshwara Temple', 'State bank of india ATM', 'Government Hospital', 'Dentawell', 'Apollo Pharmacy', 'Amphitheater', 'Vinayaka Cinema', 'Canara bank', 'Chai Point', 'Damadhish Fine Dine - Family Restaurant', 'Unwind Island Restaurant', 'Sri Lakshmi Vaibav Hotel', 'Nila Bhima', 'Vagdevi School Canteen', 'Punjabi Khanna', 'Den Bakery', 'Energizer', 'Eatoz', 'Sura Whine Shop', 'Chez Mariannick', 'Lassi Corner', 'Chez Mariannick Bakery & Restaurant', 'Bhagini Iris', 'Vagdevi Vilas super school']","['Lift(s)', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']"
in Eden Park at The Prestige City,"Sarjapur, Bangalore",east,1,Within 6 months,,,666 sq.ft,77 Lac,"['ITPL Metro Station', 'Sri Durga Complex', 'SH 35', 'Little Elly', 'Azim Premji University', 'Spandana Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
in SJS UDYAAN,"Malleshpalya, Kaggadasapura",east,1,10+ Year Old,,500 sq.ft,,31 Lac,"['Srinivasa Temple', 'Ganesha Temple', 'Om Sakthi Temple', 'South indian bank ATM', 'Sbi ATM', ' ATM', 'Dcb ATM', 'Icici ATM', 'Axis bank ATM', 'Icici ATM', 'Federal bank ATM', 'Health Care Medi Clinic', 'Medihope Super Specialty Hospital', 'Apple Clinic', 'Easwari Clinic', 'Lotus Medical Centre', 'Kiyara Dental Multispeciality Clinic', 'Toothzone Dental Studio', ""Grihi's Diabetes Centre"", ""Dr. Pranjali Srivastava's Clinic"", 'Winter Mist Clinic', ""Sri Vinayaka Dental Concern's"", 'Vidyaratnam oeshadhalaya', 'Comfort multispeciality hospital', 'Tvacha Skin and Cosmetology Clinic', 'Ashwin Clinic', 'Smiley Dental Care', 'Kamaldeep Medicals', 'Ramdev Pharmacy', 'Apollo Pharmacy', 'Ayushman Panchakarma Therapy Centre', 'Patanjali Pharmacy', 'HP Petrol Bunk', 'Karnataka bank', 'Five Star Chicken', 'Ruchi Restaurant', 'Namma Madurai', 'Hotel sneha', 'Malabar Hotel', 'Biriyani Zone', 'Angel Mess', 'Grill Hut', 'Shake it Off - Thickshakes', 'Global City International School', 'Ayon International Pre School', 'Kids Castle', 'LR International School', ""Hayagriva Girls' School"", 'Government Primary School', 'Saraswati Vidya Mandir']","['Feng Shui / Vaastu Compliant', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']"
in BDA Flats,"Volagerekallahalli, Bangalore",east,1,5 to 10 Year Old,360 sq.ft,,,16 Lac,"['Balaji Nursing Home', 'Sri Lakshmi Multi Speciality Hospital', 'Amruth Park Land']",
in Sobha Dream Acres,"Balagere, near Panathur",east,1,1 to 5 Year Old,,,645 sq.ft,85 Lac,"['ITPL Metro Station', 'Brookefield Mall', 'SH 35', 'Jyothi English School', 'Christ University', 'Hope Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'Embassy TechVillage', 'Vivanta Bengaluru, Whitefield', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Sobha Dream Acres,"Balagere, near Panathur",east,1,1 to 5 Year Old,,,656 sq.ft,87 Lac,"['ITPL Metro Station', 'Brookefield Mall', 'SH 35', 'Jyothi English School', 'Christ University', 'Hope Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'Embassy TechVillage', 'Vivanta Bengaluru, Whitefield', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
