apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility
in Sobha Dream Gardens,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,626 sq.ft,,1058 sq.ft,1.15 Cr,"['Elements Mall', 'RMZ Galleria Mall', 'Bellahalli', 'Kannuru', 'Euro School', 'Reva Institute', 'Delhi Public School', 'Bangalore International School', 'Regal Hospital', 'Cratis Hospital', 'Airport', 'Yelahanka Junction', 'North Gate Office Park', 'L & T Tech park', 'Manyata Tech park']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Mittal Elanza,"Kogilu, near Yelahanka",north,2,0 to 1 Year Old,915.17 sq.ft,,1405 sq.ft,1.46 Cr,"['The Galleria Mall', 'Bellahalli Main Road', 'EuroSchool North Campus', 'Presidency PU College', 'REVA University', 'Amruth Hospital', 'Kempegowda International Airport', 'Kogilu lake walk park', 'Yelahanka Junction', 'SilverKey Executive Stays']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Ramky One North,"Avalahalli, Bangalore",north,2,1 to 5 Year Old,,1189 sq.ft,,97 Lac,"['A small temple near IVRI', 'Ganesha Shrine', 'Shri Anjaneya shrine', 'Royal Kempegowda Convention Center', 'Bus Station Puttanahalli', 'New Udupi Park', 'Hotel Annalakshmi Pure Veg', '3 Peg Bar and Restaurant', 'Udupi Hotel', 'B.M.S. Institute of Technology and Management', 'Nitte Meenakshi Institute of Technology']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in KVG Aster,"Banjara Layout, Bangalore",north,2,1 to 5 Year Old,1011 sq.ft,1267 sq.ft,,76.91 Lac,"['Icici ATM', 'Sbi ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'North Side Hospital And Diagnostic Centre', 'Dental Concepts', 'Dental Conceptz', 'Venus Bone & Joint Centre', 'Amrithasai Dental Clinic', 'Apollo Pharmacy', 'Sri Srinivasa Medical Centre', 'Shell Ganesh Enterprises', 'Vijaya bank', 'Icici bank', 'Canara bank', 'Indusind bank', 'Bank of india', 'Hdfc bank', 'Sri sudha co-operative bank ltd', 'State bank of india amruthahalli branch', 'The janatha co-op bank ltd', 'Allahabad bank', 'Hdfc bank', 'Uco bank', 'State bank of india', ""Domino's Pizza"", 'New Shanti Sagar', 'Breadworks', 'Svensens Icrecream', 'Watsons', 'Druid Garden', 'The Druid Garden', 'Bigstraw Blast', 'Sri Vinayaka Hot Chips', 'rara avis', 'Udupi Garden', 'Lavazza', 'Mylari-Inn', 'Freska', ""Sip 'N' Crunch"", 'Trupti Thindi', 'Nila Food Corner', 'New Kritunga Restaurant', 'Kadak Hotel', 'Academic Cafeteria', 'Hyderabad Biryani', 'Oi Playschool', 'Nathaniel School of Music', 'Cauvery School', 'Orchids The International School Vivekananda - SahakarNagar']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']"
in Prestige Royale Gardens,"Yelahanka, Bangalore",north,2,1 to 5 Year Old,923 sq.ft,,1304 sq.ft,1.2 Cr,"['The Galleria Mall', 'Doddaballapur Main Rd', 'Vibgyor High School', 'NITTE Pre University College', 'Navachethana Hospital', 'Kempegowda International Airport', 'J B Kaval Tree Park', 'Stadium Football Club', 'NES Bus Stop', 'Yelahanka Junction', 'Metropolis Business Park', 'Ramada by Wyndham Bengaluru Yelahanka', 'Padukone - Dravid Sports Centre']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Bren Northern Lights,"Yelahanka, Bangalore",north,2,0 to 1 Year Old,455 sq.ft,,602 sq.ft,66 Lac,"['The Galleria Mall', 'NH 44, Maruthi Nagar', 'Aditya National Public School', 'Reva University', 'Manipal Hospital Hebbal', 'Kempegowda International Airport', 'Yelahanka Junction', 'The Leela Bhartiya City Bengaluru', 'Rail Wheel Factory Stadium']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Alpine Pyramid,"Sahakara Nagar, near Hebbal",north,2,1 to 5 Year Old,,1293 sq.ft,,1.08 Cr,"['Esteem Mall', 'NH 44', 'Sri Aurobindo Public School', 'GKVK', 'Manipal Hospital Hebbal', 'Kempegowda Intl Airport Bengaluru', 'Kodigehalli Railway Station']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Plama Heights,"Hennur Gardens, Bangalore",north,2,5 to 10 Year Old,,,1441 sq.ft,1.18 Cr,"['Temple', 'St Marys Syrian Knanaya Church', 'Rays of Peace', 'Springfield A.G. Church', 'Masjid-e-Yusuf', 'Shalom A.G. Prarthanalaya', 'Andhra bank ATM', 'Sri Maatha Dental Care', 'Kripa Dental Clinic', 'Good Shepherd Hospital', 'Sri Vijayalakshmi Pragathi Hospital', 'Shree Vijayalakshmi Hospital and Trauma Centre', 'Reachh Homeopathy Clinic', 'MedPlus', 'Apollo Pharmacy', 'V R Pharmacy', 'Indian Oil', 'Icici bank', 'Indus ind bank', 'Hdfc bank', 'State bank of india', 'Muthoot finance bank', 'Canara bank', 'Axis bank', 'Udupi Park Deluxe', 'Ambur Hot Dum Biryani', 'Five Star', 'Just A 1 Biryani Point', 'Hotel New Karavali', ""Domino's Pizza"", 'Juice n Cream', 'Cafe Moksh', 'Paradox Resto-Cafe', 'Flavours Inn', 'Fragrant Kitchen', 'Malabar Food Court', 'Mazeedar Chicken Taste', 'Pizza Hut', 'Unwined', 'Pars Restaurant', 'HMR International School', 'Hennur Government School', 'United Public School', 'St Paul', 'Vbr pu college', 'Heritage International School', 'Yuvalok School', 'Sinclairs High School', 'Florence College of Physiotherapy', 'Florida College of Education']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Sobha Dream Gardens,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,690 sq.ft,,1008 sq.ft,1.01 Cr,"['Elements Mall', 'RMZ Galleria Mall', 'Bellahalli', 'Kannuru', 'Euro School', 'Reva Institute', 'Delhi Public School', 'Bangalore International School', 'Regal Hospital', 'Cratis Hospital', 'Airport', 'Yelahanka Junction', 'North Gate Office Park', 'L & T Tech park', 'Manyata Tech park']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Sobha Dream Gardens,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,690 sq.ft,,1010 sq.ft,1.05 Cr,"['Elements Mall', 'RMZ Galleria Mall', 'Bellahalli', 'Kannuru', 'Euro School', 'Reva Institute', 'Delhi Public School', 'Bangalore International School', 'Regal Hospital', 'Cratis Hospital', 'Airport', 'Yelahanka Junction', 'North Gate Office Park', 'L & T Tech park', 'Manyata Tech park']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Mantri Manyata Lithos,"Hebbal, Bangalore",north,2,1 to 5 Year Old,1045 sq.ft,,1445 sq.ft,1.58 Cr,"['Manjunatha Nagara', 'Elements Mall', 'SH 104', 'Kensri School', 'Atria University', 'Manipal Hospital Hebbal', 'Kempegowda International Airport', 'Yeshwanthpur Junction', 'Embassy Manyata Business Park', 'Courtyard Bengaluru Hebbal', 'Funworld water park', 'Bengaluru Golf Club', 'M.Chinnaswamy Stadium']","['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Swimming Pool', 'Park', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Bharatiya City Nikoo Homes,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,700 sq.ft,800 sq.ft,934 sq.ft,95 Lac,"['Emmanuel Marthoma Church', 'Sri Gavreyanna Sidheshwara Swamy Temple', 'Sri Shiva Chamundi Temple', 'Malankara Orthodox Syrian Church - Bangalore Diocesan Centre', 'Philadelphia AG Church', 'Icici bank ATM', 'Union bank ATM', 'Andhra bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Dhanavantri Hospital', 'Regal Hospital', 'Sai Hospital', 'Bangalore Prime Hospital', 'Agarahara Government Hospital', 'MK Dental Excellence', 'Indigo Dental Care', 'Varsha Hospital', 'Chaithanya Poly Clinic', 'Sri Ragavendra Poly Clinic', 'Shadab Hospital', 'Amruth Hospital', 'Clubhouse', 'Krishna Medicals', 'Bharat Petroleum', 'Orchid-tree', 'Icici bank', 'Indian overseas bank', 'State bank of india', 'Icici bank', 'New Mast Punjabi', 'Straight Up', 'Sash Cafe', 'De Grand', 'Taawoon', 'Arunachalam Hot Chips', 'Chosen Cafe', ""Appam's Bakery and Sweets"", 'Kairali Mess', ""Joicy's Kitchen"", 'Karnataka College', 'Golden Chariot Public School', 'Alpha College of Engineering', 'Alpha College of Engineering', 'Little Lions', 'Vijaya Vittala Institute of Technology', 'Samar International Islamic School', 'BRPL Baketech Pvt LTD - Just bake', 'Tecwink']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Trendsquares Ortus 2,"Amruthahalli, near Hebbal",north,2,1 to 5 Year Old,,,1256 sq.ft,1.04 Cr,"['Sri Lakshmi Temple', 'Ganapati Temple', 'Canara bank ATM', 'Icici bank ATM', 'Hdfc bank ATM', 'Sbi ATM', 'Icici bank ATM', 'Axis Hospital', 'Dr. Shekars Diabetes Speciality Centre', 'Amruth Clinic', 'Amrutha Hospital', 'Eswar Women and Day Care Hospital', 'Clove Dental', 'Amrithasai Dental Clinic', 'Bhavana Dental Care', 'Lavender Lotus', 'Agastya Speciality Clinic', ""Dr. Archana's ENT Care Centre"", 'Hebbal Medical Center', 'Venus Bone & Joint Centre', ""Sham's Child and Adult Care"", 'Rangalakshmi Netralaya', 'Sri Vinayaka Diagnostic Laboratory', 'Ayushmitra clinic', 'Dr Bhanus Skin Clinic', 'Sri sai sankara pharm', 'Sri Srinivasa Medical Centre', 'Sandeep medicals', 'Apollo Pharmacy', 'State bank of india', 'Hdfc bank', 'State bank of india amruthahalli branch', 'Sri sudha co-operative bank ltd', 'Udupi Upahar', 'Rolls Delight', 'Five Star Chicken', 'Kadak Hotel', ""Sip 'N' Crunch"", 'Mylari-Inn', 'Jus trufs', 'Beijing Bites', 'Maa Binduvasini Chats corner', 'Chings', 'Jawaharlal Nehru Centre For Advanced Scientific Research', 'EuroKids', 'Sharada School', 'I Play I Learn', 'New little kingdom', 'Little Elly Preschool', 'Subconscious Compute Pvt. Ltd.']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
in Mantri Manyata Lithos,"Hebbal, Bangalore",north,2,1 to 5 Year Old,1045 sq.ft,,1445 sq.ft,1.59 Cr,"['Manjunatha Nagara', 'Elements Mall', 'SH 104', 'Kensri School', 'Atria University', 'Manipal Hospital Hebbal', 'Kempegowda International Airport', 'Yeshwanthpur Junction', 'Embassy Manyata Business Park', 'Courtyard Bengaluru Hebbal', 'Funworld water park', 'Bengaluru Golf Club', 'M.Chinnaswamy Stadium']","['Intercom Facility', 'Lift(s)', 'Recently Renovated', 'Piped-gas', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Trendsquares Ortus,"Amruthahalli, near Hebbal",north,2,1 to 5 Year Old,,,1202 sq.ft,99 Lac,"['Baiyappanahalli', 'Elements Mall', 'NH 44', 'S L V Vidyanikethan School', 'University of Agricultural Sciences', 'Manipal Hospital Hebbal', 'Kempegowda Intl Airport Bengaluru', 'Kodigehalli Railway Station', 'The Executive Centre', 'Four Seasons Hotel  at Embassy ONE', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Bangalore Football Stadium']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
in Saravana Tranquil Heights,"Jalahalli, BEL Road, Bangalore",north,2,5 to 10 Year Old,900 sq.ft,,1184 sq.ft,65 Lac,"['Noorani Masjid', 'Ambabavani Temple', 'Sri Raghavendraswamy Temple', 'State bank of india ATM', 'Axis bank ATM', 'Shree Sai Hospital', 'Sri Gopalan Clinic', 'Floss and Gloss Dental Clinic', 'Sanjeevani Health Care', 'Honey Homeopathy Clinic', 'Nagappa Hadli Hospital', 'Om Sai Clinic', 'Satish Poly Clinic', 'Aveksha Hospital', 'Global Health Centre', 'Sarwari Poly Clinic', 'Santhamma Hospital', 'London Hospital', 'Shama Charitable Clinic', 'Sonal Dental Care', 'Rishi Acupuncture Clinic', 'Government Hospital', 'Oskas Clinic', 'Rajalakshmi Hospital', 'Nanda Dental Clinic', 'Partha Dental Clinic', 'SDM Dental clinic', 'Maruti Medicals', 'MedPlus Pharmacy', 'Kuvempunagar 2nd Stage', 'Hindustan Petroleum', 'State bank of india', 'State bank of india', 'Corporation bank', 'Karnataka bank ltd.', 'Air Force Theatre', 'Oyalo Pizza', 'Bismillah Hotel', 'Raksha Bar and Restaurant', 'Emily Chilli Cafe', 'Adyar Ananda Bhavan', 'Chilli Shots Restaurant', ""Domino's Pizza"", ""Amma's Pastry"", 'Sambhram Institute of Technology', ""Little Lilly's chool"", 'Vesper Pharmaceuticals', 'JN Tech Solutions', 'City central library', 'Just books clc library']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']"
in Sobha Dream Gardens,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,609 sq.ft,,1002 sq.ft,1.08 Cr,"['Elements Mall', 'RMZ Galleria Mall', 'Bellahalli', 'Kannuru', 'Euro School', 'Reva Institute', 'Delhi Public School', 'Bangalore International School', 'Regal Hospital', 'Cratis Hospital', 'Airport', 'Yelahanka Junction', 'North Gate Office Park', 'L & T Tech park', 'Manyata Tech park']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Bharatiya City Nikoo Homes,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,873 sq.ft,1000 sq.ft,1056 sq.ft,1.03 Cr,"['Emmanuel Marthoma Church', 'Sri Gavreyanna Sidheshwara Swamy Temple', 'Sri Shiva Chamundi Temple', 'Icici bank ATM', 'Union bank ATM', 'Andhra bank ATM', 'Axis bank ATM', 'State bank of india ATM', 'Dhanavantri Hospital', 'Regal Hospital', 'Agarahara Government Hospital', 'Sai Hospital', 'Bangalore Prime Hospital', 'MK Dental Excellence', 'Indigo Dental Care', 'Chaithanya Poly Clinic', 'Varsha Hospital', 'Sri Ragavendra Poly Clinic', 'Shadab Hospital', 'Amruth Hospital', 'Clubhouse', 'Krishna Medicals', 'Bharat Petroleum', 'Orchid-tree', 'Icici bank', 'Indian overseas bank', 'State bank of india', 'Icici bank', 'Kotak mahindra bank', 'Corporation bank', 'New Mast Punjabi', 'Straight Up', 'Sash Cafe', 'De Grand', 'Taawoon', 'Arunachalam Hot Chips', 'Chosen Cafe', ""Appam's Bakery and Sweets"", 'Kairali Mess', ""Joicy's Kitchen"", 'Karnataka College', 'Golden Chariot Public School', 'Little Lions', 'Samar International Islamic School', 'Alpha College of Engineering', 'Alpha College of Engineering', 'Vijaya Vittala Institute of Technology', 'BRPL Baketech Pvt LTD - Just bake', 'Tecwink']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Purva Zenium,"Hosahalli, Bangalore",north,2,0 to 1 Year Old,,1206 sq.ft,,1.43 Cr,"['The Galleria Mall', 'NH 44', 'Sri Venkateshwara Central School', 'CMR University', 'N R V Hospital', 'Kempegowda International Airport', 'Bettahalsoor Railway Station', 'Ecopolis, IT/ITES SEZ', 'Clarks Inn Airport, Bangalore', 'Club Cabana Amusement Park', 'Vidhyanagara Stadium']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Hoysala Samruddhi,"Talacauvery Layout, Sahakara Nagar",north,2,5 to 10 Year Old,,,1560 sq.ft,95 Lac,"['Sri Sanaischara temple', 'Icici ATM', 'Sbi ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Venus Bone & Joint Centre', 'Amrithasai Dental Clinic', 'Eswar Women and Day Care Hospital', 'Amrutha Hospital', 'Clove Dental', 'Dr Bhanus Skin Clinic', 'Amruth Clinic', 'Zenith Dental', 'Dr. Shekars Diabetes Speciality Centre', 'North Side Hospital And Diagnostic Centre', 'Axis Hospital', 'Sri Srinivasa Medical Centre', 'Sri sai sankara pharm', 'Apollo Pharmacy', 'Apollo Pharmacy', 'Shell Ganesh Enterprises', 'Sri sudha co-operative bank ltd', 'State bank of india amruthahalli branch', 'Hdfc bank', 'Vijaya bank', 'State bank of india', 'Hdfc bank', 'Icici bank', 'Bank of india', 'Indusind bank', 'Udupi Garden', 'Mylari-Inn', 'Sri Vinayaka Hot Chips', ""Sip 'N' Crunch"", 'Kadak Hotel', 'Five Star Chicken', 'Rolls Delight', 'Beijing Bites', 'Udupi Upahar', 'rara avis', 'Druid Garden', 'The Druid Garden', 'Jus trufs', 'Svensens Icrecream', 'Bigstraw Blast', 'Watsons', 'New Shanti Sagar', ""Domino's Pizza"", 'I Play I Learn', 'Subconscious Compute Pvt. Ltd.']","['Private Garden / Terrace', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Deodar at Brigade Orchards,"Devanahalli, Bangalore",north,2,1 to 5 Year Old,,,1360 sq.ft,1.15 Cr,"['Sri Shirdi Sai Hospital', 'Barista Lavazza', 'Cafe Coffee Day', 'Devanahalli railway station']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Bhartiya City Nikoo Homes Phase 2,"Chokkanahalli, near Thanisandra",north,2,1 to 5 Year Old,,1109 sq.ft,,1.2 Cr,"['Goraguntepalya Metro Station', 'Bhartiya Mall Of Bengaluru', 'United International School', 'REVA University', 'Star Medcity Speciality Hospital', 'Kempegowda International Airport', 'Yelahanka Junction']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Deodar at Brigade Orchards,"Devanahalli, Bangalore",north,2,0 to 1 Year Old,,,1360 sq.ft,1.04 Cr,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Sobha Dream Gardens,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,,,1054 sq.ft,1.1 Cr,"['Elements Mall', 'RMZ Galleria Mall', 'Bellahalli', 'Kannuru', 'Euro School', 'Reva Institute', 'Delhi Public School', 'Bangalore International School', 'Regal Hospital', 'Cratis Hospital', 'Airport', 'Yelahanka Junction', 'North Gate Office Park', 'L & T Tech park', 'Manyata Tech park']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Purva Zenium,"Hosahalli, Bangalore",north,2,1 to 5 Year Old,1080 sq.ft,,,1.4 Cr,"['The Galleria Mall', 'NH 44', 'Sri Venkateshwara Central School', 'CMR University', 'N R V Hospital', 'Kempegowda International Airport', 'Bettahalsoor Railway Station', 'Ecopolis, IT/ITES SEZ', 'Clarks Inn Airport, Bangalore', 'Club Cabana Amusement Park', 'Vidhyanagara Stadium']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Purva Zenium,"Hosahalli, Bangalore",north,2,1 to 5 Year Old,906 sq.ft,1200 sq.ft,1206 sq.ft,1.3 Cr,"['The Galleria Mall', 'NH 44', 'Sri Venkateshwara Central School', 'CMR University', 'N R V Hospital', 'Kempegowda International Airport', 'Bettahalsoor Railway Station', 'Ecopolis, IT/ITES SEZ', 'Clarks Inn Airport, Bangalore', 'Club Cabana Amusement Park', 'Vidhyanagara Stadium']","['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']"
in Sobha Dream Gardens,"Thanisandra, Bangalore",north,2,0 to 1 Year Old,609 sq.ft,,1008 sq.ft,1.17 Cr,"['Elements Mall', 'RMZ Galleria Mall', 'Bellahalli', 'Kannuru', 'Euro School', 'Reva Institute', 'Delhi Public School', 'Bangalore International School', 'Regal Hospital', 'Cratis Hospital', 'Airport', 'Yelahanka Junction', 'North Gate Office Park', 'L & T Tech park', 'Manyata Tech park']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Casagrand Boulevard,"Chikkagubbi, Hennur Road",north,2,0 to 1 Year Old,1245 sq.ft,,,1.3 Cr,"['Nagawara Metro Station', 'Bhartiya Mall Of Bengaluru', 'Thanisandra Main Road', 'New Horizon International School', 'Vision PU College For Boys', 'Cratis Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Embassy Manyata Business Park', 'The Leela Hotel Bhartiya City', 'Fun World Amusement Park', 'Prestige Augusta Golf Village', 'Rail Wheel Factory Stadium']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'False Ceiling Lighting', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Purva Zenium,"Hosahalli, Bangalore",north,2,1 to 5 Year Old,1014 sq.ft,1300 sq.ft,1314 sq.ft,1.35 Cr,"['The Galleria Mall', 'NH 44', 'Sri Venkateshwara Central School', 'CMR University', 'N R V Hospital', 'Kempegowda International Airport', 'Bettahalsoor Railway Station', 'Ecopolis, IT/ITES SEZ', 'Clarks Inn Airport, Bangalore', 'Club Cabana Amusement Park', 'Vidhyanagara Stadium']","['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']"
in Trendsquares Ortus 3,"Amruthahalli, near Hebbal",north,2,0 to 1 Year Old,,,1106 sq.ft,1.11 Cr,"['Goraguntepalya Metro Station', 'Esteem Mall', 'NH 7', 'Trio World Academy', 'Impact College of Engineering', 'Manipal Hospital Hebbal', 'Kempegowda International Airport', 'Yeshwanthpur Junction', 'Embassy Manyata Business Park', 'ITC Gardenia, a Luxury Collection Hotel', 'Fun World Amusement Park', 'Bengaluru Golf Club', 'GKVK University Stadium']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']"
