apartment_name,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category,Latitude,Longitude,apartment_loc,price_per_sqft,price_range,area_range
Gowri Sai Grand,east,3,Under Construction,1200.0,1590.0,1791.93,1.24,"['Ganesha Temple', 'Citibank ATM', 'State bank of india ATM', 'Addresshealth Child Health Clinic', 'Clinic', 'Stanford Speciality Hospital', 'Vaatsalya Homeopathy Clinic', 'Sri Sai Dental & Medical Care', 'Nurture IVF', 'Dr. Levine Memorial Hospital', 'Apollo Clinic', 'add-on Scans & Labs', 'Ittina Welness', 'Ittina Wellness Centre', 'Dr Rachna - Homeopathy', 'Dr Mohan Nursing Home', 'SK Eye and Skin Clinic', 'MedPlus Medical Center', 'Apollo Pharmacy', 'Icici bank', 'Kotak mahindra bank', 'Karnataka bank', 'South indian bank', 'State bank of india', 'Andhra bank', 'Icici bank', 'Amphitheatre', 'Chat & More', 'Juice', 'Dosa Time', 'Aroi', 'Nandini', 'Nayi Dilli', 'Purani Dilli', 'Subway', 'Xplod resto bar', 'KFC', 'Xtreme Sports Bar', 'Chai World', 'Moritz', 'Chai Point', 'Beijing Bites', 'Cafe Coffee Day', 'South Inn', 'Udupi Saviruchi', 'Podar Happy Kids', 'Vidyarambh Play School', 'Shristi Montessari', 'Uber', 'Khosla Labs']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Water softening plant']",51.0,medium,12.8925,77.7795,Sarjapur Road,6919.913166,1Cr-1.5Cr,1500-2000 sqft
Goyal Orchid Bloomsberry,east,3,New Property,1020.0,1212.0,1365.92,1.83,"[('vagdevi vilas school marathahalli', '1.9 km'), ('garden city university', '15.5 km'), ('maya hospital', '2 km'), ('bellandur railway station', '1.8 km'), ('halasuru metro station', '14.2 km'), ('radisson blu bengaluru', '4.4 km'), ('brookefield mall', '4 km'), ('karnataka golf association', '10.8 km'), ('atal bihari vajpayee stadium', '10.6 kms'), ('sh35', '3 km'), ('exora business park', '4.1 km'), ('kempegowda international airport', '42.8 km')]","['Paved Compound', 'Car Parking', 'Badminton Court', 'Club House', 'Cricket Pitch', 'Fountain', 'Football Ground', 'Park', 'Senior Citizen Sitout']",75.0,medium,12.9505,77.7265,Varthur,13397.56355,1.5Cr-2Cr,1000-1500 sqft
Goyal Orchid Green,north,2,Relatively New,,1060.0,1180.0,1.1,"['Sri Shiva Chamundi Temple', 'Kothanur CSI Church', 'Maha Ganapati Temple', 'Masjid Al-Salf Al-Salah', 'Blessing Worship Center', 'Sri Shaneeswhara Swamy Devalaya', 'Hdfc bank ATM', 'Kotak mahindra bank ATM', 'State bank of india ATM', 'Medi Derma Hospital', 'Clubhouse', 'United Pharma', 'Ram Medicals', 'Sri Varsha Medicals and General Store', 'Golden Palms Visitors Parking', 'Bharat Petroleum', 'Axis bank', 'Syndicate bank', 'State bank of india', 'Kotak mahindra bank', 'State bank of india', 'Kotak mahindra bank', 'Roti Land Family Dhaba', 'Fella Cafe', 'Dreamland Food Corner', 'Lassi Store', 'Coffe Cream Cafe', '3 Ediots', 'Kolkata Famous Kati Roll', ""Mom's Kitchen - Tanang Naga"", 'Cafe Zamorin', 'Chinese Bowl', ""Joicy's Kitchen"", 'Kairali Mess', 'Jiffy Cafe', ""Appam's Bakery and Sweets"", 'Cafe Coffee Day', 'Luqma', 'Chosen Cafe', 'Arunachalam Hot Chips', 'Karnataka Biryani Point', 'Moriz', 'Hotel Sri Durga Darshini', 'Five Star Chicken', 'Taawoon', 'Teresa Bacq School', 'Little Lions', 'Manasa Public School', 'Swamy Vivekananda Primary and High School', 'Tecwink']","['Security / Fire Alarm', 'Maintenance Staff', 'Visitor Parking']",89.0,medium,13.0325,77.6415,Kothanur,9322.033898,1Cr-1.5Cr,1000-1500 sqft
Goyal Orchid Salisbury Thirumenahalli,north,2,Under Construction,,1052.0,1171.0,0.49,"[('federal public school', '1.4 kms'), ('reeva hospital', '950 m'), ('university of agricultural sciences', '11.2 km'), ('kodigehalli', '10.8 km'), ('kempegowda intl. airport', '20.2 km'), ('galleria mall', '6.3 kms'), ('sh104', '50 m'), ('gkvk university stadium', '11 km'), ('bengaluru golf club', '16.4 km'), ('nagasandra', '26.7 km'), ('lr complex', '16.2 km'), ('funtura', '21.4 km'), ('taj yeshwantpur', '18.9 km')]","['Multipurpose Hall', 'Lounge', 'Indoor Games', 'Swimming Pool', 'Badminton Court', 'Club House', 'Cafeteria', 'Mini Theatre', 'Yoga/Meditation Area']",61.0,medium,13.0755,77.6355,Thanisandra Main Road,4184.457728,< 50L,1000-1500 sqft
Green City Eutopia,south,3,Relatively New,1313.0,1400.0,1750.0,2.15,"['Sri Chamundeshwari Temple', 'ECI Church', 'Indian bank ATM', 'Indusind bank ATM', ""Srinivas Children's Clinic"", 'Shree Vaishnavi Heart Centre and Multi Speciality', 'Ortho Centre Clinic', 'Srinivasa Dental Clinic', 'Nisa Multi Speciality Clinics', 'Anugraha Clinic', 'Daivik Clinic', 'Hireholi Clinic', 'Bharat Clinic', 'Life Care Medicals', 'Aravind Medicals and General stores', 'Apollo Pharmacy', 'Nandi Pharma', ""Reddy's Pharma"", 'MedPlus', 'Indian bank', 'Icici bank', 'Kotak mahindra bank', 'Rbl bank', 'Union bank of india', 'Canara bank', 'Bank of maharashtra', 'Holy Smoke', 'Beijing Bites', 'Chai Point', 'Aramane Donne Biriyani', 'Punjabi Swag', 'Laddoos', 'indira canteen', 'Pizza Hut', ""Domino's"", 'Swadista Ahara', 'Pathan Sir', 'Momo Mia', '99 Varieties Dosa', 'Dhansagar', 'North Indian Restaurant', 'Sri Krishna Sagar', 'Frozen Bottle', 'first step', 'Play School', 'M E S HPS Kuvempunagar B T M Layout W No 65', 'St Josephs Eng Pri Sch B T M Layout W No 65', 'Hillside Public LPS Ns Palya B T M Layout W No 65', 'Sambhavam - Centre for Autism', 'Calibre library']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",62.0,medium,12.9155,77.6055,BTM 2nd Stage,12285.71429,> 2Cr,1000-1500 sqft
Green View,south,1,Relatively New,576.0,684.0,770.87,0.24,"['Sri Gowri Shankara Temple', 'Sai Baba Temple', 'Lakshmi vilas bank ATM', 'Axis bank ATM', 'Andhra bank ATM', 'Kotak mahindra bank ATM', 'Hdfc bank ATM', ""Dr. Mradula's Skin Clinic"", 'Kids Care Clinic', 'Manipal Clinic', 'Narayana Hrudayalaya Dental Clinic', 'BBMP Office', 'Shree Lakshmi Medicals', 'Apollo Pharmacy', 'Sri Laxmi Medicals', 'Ennar Diagnostics & Healthcare', 'Arekere MICO Layout Bus Station', 'Icici bank', 'Uco bank', 'Karnataka bank', 'Andhra bank', 'Axis bank', 'Canara bank', 'Hakuna Matata', 'Beiging Bites', 'Cafe Pascucci', 'Sichuan Court', 'Kakal Kai Ruchi', 'Goli Vada Pav', 'Athithi Gruha', 'Goli Vadapav', 'Momo Jojo', 'Taj Paradise Family Restaurant', ""Domino's"", 'Nandi Bidadi Thatte Idli', 'SLV', 'Kabab Mehal', 'Star Biriyani Ambur', ""Papa John's Pizza"", 'Clay Oven Restaurant', 'New Nobal School Arkere Bommana Halli Cmc', 'Cambridge School Kothanur', 'Shine Eng School Arakere', 'Aradhana KHPS Arakere', 'Aura Montessori House of Children', 'Aradhana Academy', 'Aradhana EHPS Arakere Arakere', 'Amaravathy PU College', 'Podar Jumbo Kids', 'Just books clc library']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage']",97.0,medium,12.8355,77.6555,Neeladri Nagar,3113.365418,< 50L,< 1000 sqft
Green View Apartment,south,3,Relatively New,1140.0,1521.0,1621.0,0.6,"['Punjab national bank ATM', 'Icici ATM', 'Kvb ATM', 'Karnataka bank ATM', 'Citibank ATM', 'Corporation bank ATM', 'Shree Vinayaka Multispeciality Centre', 'Wipro First Aid Clinic', 'E-City Family Dental Centre', 'Srujana Hospital', 'Dietician Priyanka Khandelwal', 'Clinic', 'The Dental Square Multispeciality Clinic', 'Balaji Medical', 'Trust Medicals', 'Wipro EC Bus Stand', 'Vijaya bank', 'Icici bank', 'Hdfc bank', 'State bank of india', 'Karnataka bank', 'Idbi bank', ""Papa John's"", 'Barista', 'She Brews', 'Eat And Meet', 'New Green Leaf Restaurant', 'Mama-G', ""Mamaji's"", 'Punjabi Dhaba', 'Oasis Bar and Restuarant', 'Moritz restaurant', 'Andhra Mess', 'Bombay Kulfi', 'Kerala Mess', 'Sandesh Sweets and Chats', 'Cafe Neeladri', 'Mast Kalandar', 'Burger King', 'Sky Bar', 'Dominos', 'Kritunga', 'KFC', 'EC1 Canteen', 'Greens bar and restaurant', 'Pot Biryani', 'Soul Indian Speciality Svenska', 'Foodware', 'Just books library', 'Wipro isd library']","['Security / Fire Alarm', 'Water Storage', 'Park', 'Visitor Parking']",57.0,medium,12.8355,77.6555,Neeladri Nagar,3701.418877,50L-1Cr,1500-2000 sqft
Green Woods,north,3,New Property,1600.0,1811.0,1915.0,0.9,"['Saralaya Hospital', 'Nisarga Poly Clinic', 'Venkateshwara Clinic', 'Dr. Ashwin clinic', ""Happy Pearl's Dental Clinic"", 'Sri Arogya Hospital', 'Sapthagiri Hospital', 'Seven Hills Clinic', 'Valens Hospitals', 'iDentist Family Dental Care', 'Dentteq Dental Clinic', 'Chirayu Clinic', 'Om Shakthi Hospital', 'Saranalaya Hospital', 'Ganga ENT Clinic', 'Lakshmi Hospital', 'Karnataka bank', 'Brindavan College Bakery', 'Cafe Coffee Day Express', 'Brindavan College Canteen', 'Bhagini', 'Cafe Coffee Day', 'Adyar Ananda Bhavan', 'Reva University', 'IS and CS block', 'Engineering Block', 'Bridavan College of Engineering', 'Brindavan College of Architecture', 'RadCAM Technologies Pvt. Ltd']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",67.0,medium,13.1385,77.6675,Sathanur,4699.738903,50L-1Cr,1500-2000 sqft
Green Woods Apartment,east,3,Relatively New,1780.0,2115.0,2383.6,2.85,"['Sri Sri Sri Muneshwara Swamy Temple', 'Shree Ramakrishna Temple', 'Lady of Lourdes Chruch', 'Sri Devi Karumariamman Temple', 'Jamma Masjid', 'Calvary Church', 'Sri Devi Karumariamman Temple Mahadwara', 'Icici ATM', 'Andhra bank ATM', 'Hdfc ATM', 'Vasan Eye Care', 'Sai Dental Clinic', 'Apoorva Dental Clinic', 'Cure N Care Homoeopathic clinic', 'Agarwal Eye Hospital', 'Apollo Pharmacy', 'Avenue Pharma', 'V-Care Pharma', 'Pushpa Medicals', 'National Pharma', 'Hdfc bank', 'City union bank', 'Vijaya bank', 'Idfc first bank whitefield', 'Bandhan bank', 'Andhra bank', 'Five Star Chicken', 'Mayuri', 'Punjabi Kitchen', 'Sowparnika Bakery And Sweets', 'Shri Lakshmi Vaibhava', 'Bangalore Mandarin', ""Domino's Pizza"", 'Whitefield Dum Biriyani', 'Money Heist Bar & Restaurant', ""Glen's Bakehouse"", 'The Marigold - Fine Dine', 'Herbs and Spices', 'Moriz Restaurant', 'Refresh', 'Indus Early Learning Centre', 'Daffodil Pre School', 'Kideens', 'Delhi Public School', 'Viha', 'St. Thomas School', 'T.I.M.E Kids', 'Maple Bear Canadian Pre-School', 'Vivero International Preschool', 'Little Millenium']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Club house / Community Center', 'Rain Water Harvesting']",71.0,medium,12.9875,77.7085,Dodsworth Layout,11956.70414,> 2Cr,2000-2500 sqft
GreenNesto Primus,south,3,Under Construction,,1364.0,1567.0,1.29,"['Nallur Halli metro station', 'Central Shopping Mall', 'State Highway 35', 'Harvest International School', 'Amrita Vishwa Vidyapeetham', 'Springleaf Hospital', 'Kempegowda Int Airport', 'Karmelaram Railway Station', 'DoubleTree Suites', 'Karnataka Golf Association']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",51.0,medium,12.8355,77.6555,Chikkanayakanahalli,8232.291002,1Cr-1.5Cr,1000-1500 sqft
Griha Mithra Grand Gandharva,west,2,Relatively New,,1128.0,1255.0,0.68,"['Jnana bharathi metro station', 'Rajarajeshwari nagar metro station', 'Church', 'Rajarajeshwari Temple', 'Vinayaka Temple', 'Shri Nimishamba Devi Temple', 'Shani Temple', 'Uco bank ATM', 'Oriental bank of commerce ATM', 'Icici ATM', 'Rc Hospital', 'Vasan Eye Care Hospital Rajarajeswari Nagar', 'Veturi Child Health Centre', 'Sri Venkateshwara Nethralaya', 'Pramathana Dental Care', 'Satvik Dental Clinic', 'Vasavi Mahal', 'Trust', 'Bharat Petroleum', 'Total Gaz', 'Go Gas', 'Hindustan Petroleum', 'Axis bank', 'Icici bank', 'Canara bank', 'Canara bank', 'Big Cinemas', 'Mane Upahara', 'R.R. Cafe', 'Stone House Cafe', 'Twillight Tandoor Resto', 'Sri Krishna Nandagokula Veg', 'The Club', 'KFC', ""KC'S Club"", ""McDonald's"", 'Eastwind Delicious Biryani', '1947', 'Dominos Pizza', 'Monish Corner', 'Rajarajeshwari Canteen', 'Brew Kings', 'Urban DIET', 'Rajarajeshwari Vidya Shala', ""Vice Chancellor's Lodge"", 'Young World', 'Carmel School Ground', 'Sifang India Pvt. Ltd.', 'Texport Garments', 'Saatvik Solutions LLP']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",41.0,low,12.9055,77.5955,Kenchenhalli,5418.326693,50L-1Cr,1000-1500 sqft
