bulit_area,zone_east,zone_north,zone_south,zone_west,construction_status,bhk_type,luxury_category,price_value
0.1627831715210356,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.8
0.26947141316073353,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.4
0.12653721682847896,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.29
0.14735706580366775,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.86
0.18338727076591155,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.95
0.13009708737864079,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.64
0.20323624595469256,0.0,0.0,0.0,1.0,3.0,3.0,2.0,6.25
0.12912621359223303,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.23
0.2075512405609493,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.7
0.19093851132686085,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.67
0.15188781014023733,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.54
0.1250269687162891,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3
0.1306364617044229,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.8
0.27432578209277236,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.6
0.21477885652642936,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.29
0.09417475728155339,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.95
0.03581445523193096,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.12
0.2715210355987055,1.0,0.0,0.0,0.0,1.0,2.0,2.0,4.5
0.08921251348435816,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.53
0.18414239482200648,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.1
0.15372168284789645,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.46
0.17011866235167206,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.8
0.2335490830636462,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.2
0.10280474649406687,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.32
0.14077669902912623,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.96
0.12243797195253506,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.92
0.09859762675296657,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.33
0.1597626752966559,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.39
0.4961165048543689,1.0,0.0,0.0,0.0,3.0,3.0,2.0,4.8
0.26742179072276157,0.0,0.0,0.0,1.0,3.0,3.0,2.0,7.5
0.17971952535059332,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.2
0.13124811218985977,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.5
0.16936353829557713,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.11
0.3207119741100323,0.0,0.0,0.0,1.0,2.0,3.0,2.0,7.0
0.11833872707659115,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.5
0.10711974110032363,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.85
0.11618122977346279,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.72
0.1483279395900755,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.77
0.12427184466019417,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.75
0.12653721682847896,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.68
0.14973031283710897,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.85
0.0494066882416397,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.56
0.1372168284789644,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.33
